1,1,5
1,2,4
1,3,3
1,4,2
1,5,1
1,6,5
1,7,4
1,8,3
1,9,2
1,10,1
2,21,5
2,22,4
2,23,3
2,24,2
2,25,1
2,26,5
2,27,4
2,28,3
2,29,2
2,30,1
3,31,5
3,33,4
3,35,3
3,37,2
3,39,1
3,41,5
3,43,4
3,45,3
3,47,2
3,49,1
4,3,5
4,5,4
4,7,3
4,9,2
4,11,1
4,13,5
4,15,4
4,17,3
4,19,2
4,21,1
5,11,5
5,13,4
5,15,3
5,17,2
5,19,1
5,21,5
5,23,4
5,25,3
5,27,2
5,29,1
6,2,5
6,4,4
6,6,3
6,8,2
6,10,1
6,12,5
6,14,4
6,16,3
6,18,2
6,20,1
7,12,5
7,14,4
7,16,3
7,18,2
7,20,1
7,22,5
7,24,4
7,26,3
7,28,2
7,30,1
8,1,5
8,4,4
8,7,3
8,10,2
8,13,1
8,16,5
8,19,4
8,22,3
8,25,2
8,28,1
9,3,5
9,7,4
9,11,3
9,15,2
9,19,1
9,23,5
9,27,4
9,31,3
9,35,2
9,39,1
10,48,5
10,46,4
10,44,3
10,42,2
10,40,1
10,38,5
10,36,4
10,34,3
10,32,2
10,30,1
